"year","year_id","spring_storm_days","spring_stage_precip","pre_breed_freeze","post_breed_precip","autumn_storm_days","autumn_freeze","scaled_spring_storm_days","scaled_spring_stage_precip","scaled_pre_breed_freeze","scaled_post_breed_precip","scaled_autumn_storm_days","scaled_autumn_freeze"
1984,1,0,3.11099717674298,47,67.4941245313404,2,0,-0.741866583533342,-0.399556211508721,1.4213725835902,-0.918180192293289,0.0940965815886351,-0.332249319622494
1985,2,2,6.0540023611546,33,112.790845704494,0,0,-0.0304876678164388,0.182035952112353,-0.32855848665904,0.773951207639643,-0.846869234297716,-0.332249319622494
1986,3,3,4.26571080086243,35,47.2047369040633,3,1,0.325201790042013,-0.171363478933353,-0.078568333766292,-1.67612268791645,0.564579489531811,1.99349591773497
1987,4,0,4.79372405814454,41,57.9076772972816,0,2,-0.741866583533342,-0.0670183101413013,0.671402124911952,-1.27629724709162,-0.846869234297716,4.31924115509243
1988,5,5,0.307594726902221,36,108.958091523705,0,0,1.03658070575892,-0.953560297175826,0.0464267426800821,0.630772550783987,-0.846869234297716,-0.332249319622494
1989,6,3,1.3231776035895,41,93.6741285720568,7,0,0.325201790042013,-0.752862369181127,0.671402124911952,0.0598156921841711,2.44651112130451,-0.332249319622494
1990,7,4,9.13187708435956,44,79.1679838162115,2,0,0.680891247900465,0.790280826808783,1.04638735425107,-0.482084524820638,0.0940965815886351,-0.332249319622494
1991,8,0,0.708954637075306,49,52.6077295512684,1,0,-0.741866583533342,-0.874244168279848,1.67136273648294,-1.4742852640333,-0.37638632635454,-0.332249319622494
1992,9,6,5.63574156562171,49,64.6035889683381,0,0,1.39227016361737,0.0993798962140086,1.67136273648294,-1.02616076709211,-0.846869234297716,-0.332249319622494
1993,10,5,1.90280176446063,39,88.7479651496544,0,1,1.03658070575892,-0.63831793290434,0.421411972019204,-0.124209014071799,-0.846869234297716,1.99349591773497
1994,11,0,1.71568030856091,28,86.928503543691,3,0,-0.741866583533342,-0.675296587571033,-0.95353386889091,-0.19217790971557,0.564579489531811,-0.332249319622494
1995,12,0,2.43243658987137,23,66.716868353398,3,0,-0.741866583533342,-0.533652312309694,-1.57850925112278,-0.947215838813058,0.564579489531811,-0.332249319622494
1996,13,0,5.76767046173793,28,73.4948938242083,0,0,-0.741866583533342,0.125451482000804,-0.95353386889091,-0.694011866612506,-0.846869234297716,-0.332249319622494
1997,14,0,15.5077205636477,31,129.770788885258,1,0,-0.741866583533342,2.05026522087972,-0.578548639551788,1.4082641177378,-0.37638632635454,-0.332249319622494
1998,15,0,4.57026436133212,35,89.8289975537846,4,1,-0.741866583533342,-0.111178072155865,-0.078568333766292,-0.0838253212128586,1.03506239747499,1.99349591773497
1999,16,2,13.5863132960541,45,96.3386834987202,5,0,-0.0304876678164388,1.67055966824393,1.17138243069745,0.159354399213707,1.50554530541816,-0.332249319622494
2000,17,1,18.5830980010505,34,99.7236325581633,1,0,-0.386177125674891,2.65801658579216,-0.203563410212666,0.285804580204994,-0.37638632635454,-0.332249319622494
2001,18,2,1.95725950861306,35,55.9082279764721,0,0,-0.0304876678164388,-0.627556077160662,-0.078568333766292,-1.35098987142933,-0.846869234297716,-0.332249319622494
2002,19,0,0.918853724925065,34,73.9542768060784,1,0,-0.741866583533342,-0.83276423297724,-0.203563410212666,-0.676850881267768,-0.37638632635454,-0.332249319622494
2003,20,0,3.02817460014673,31,127.085516642566,5,0,-0.741866583533342,-0.415923481867069,-0.578548639551788,1.30795148226341,1.50554530541816,-0.332249319622494
2004,21,2,6.3275669807936,31,74.9723005763832,0,0,-0.0304876678164388,0.236097372006804,-0.578548639551788,-0.638820976608093,-0.846869234297716,-0.332249319622494
2005,22,2,0.00323686525304732,36,168.074597827268,2,0,-0.0304876678164388,-1.01370703025303,0.0464267426800821,2.83916410716621,0.0940965815886351,-0.332249319622494
2006,23,3,1.79957620758413,34,108.702802378306,3,0,0.325201790042013,-0.65871720888346,-0.203563410212666,0.621235816826128,0.564579489531811,-0.332249319622494
2007,24,0,4.93037440528156,37,141.831739986541,1,0,-0.741866583533342,-0.040013678456672,0.171421819126456,1.85882021855404,-0.37638632635454,-0.332249319622494
2008,25,0,3.42660375896074,27,85.4053401000462,6,0,-0.741866583533342,-0.337186523552573,-1.07852894533728,-0.249078114045346,1.97602821336134,-0.332249319622494
2009,26,11,7.01109483187144,44,98.8157911570722,0,0,3.17071745290963,0.371175095929707,1.04638735425107,0.251890714009844,-0.846869234297716,-0.332249319622494
2010,27,2,0.308832468200008,27,126.592283018866,0,0,-0.0304876678164388,-0.953315696641924,-1.07852894533728,1.28952595210252,-0.846869234297716,-0.332249319622494
2011,28,0,4.28717112266745,44,103.628180387098,0,0,-0.741866583533342,-0.1671225231047,1.04638735425107,0.431665203507596,-0.846869234297716,-0.332249319622494
2012,29,2,21.7330273311672,23,104.306084052774,0,0,-0.0304876678164388,3.28050078121919,-1.57850925112278,0.456989378174346,-0.846869234297716,-0.332249319622494
2013,30,0,6.3087903472324,42,74.4144798181631,7,0,-0.741866583533342,0.232386762526325,0.796397201358326,-0.65965926238402,2.44651112130451,-0.332249319622494
2014,31,2,4.69330848239346,39,85.9278874793121,3,0,-0.0304876678164388,-0.0868622819669922,0.421411972019204,-0.229557521704271,0.564579489531811,-0.332249319622494
2015,32,4,4.58828022109934,42,115.920552478514,0,0,0.680891247900465,-0.107617805623883,0.796397201358326,0.890866405202348,-0.846869234297716,-0.332249319622494
2016,33,1,1.87735722655719,13,97.2093899705794,1,0,-0.386177125674891,-0.643346243397975,-2.82846001558652,0.191881030788776,-0.37638632635454,-0.332249319622494
2017,34,0,1.75480352278854,30,97.0304626763359,0,0,-0.741866583533342,-0.667565118074825,-0.703543715998162,0.185196915800914,-0.846869234297716,-0.332249319622494
2018,35,11,5.29780807232607,40,66.8130582626718,2,0,3.17071745290963,0.0325979983883233,0.546407048465578,-0.943622511048412,0.0940965815886351,-0.332249319622494
